movie_id,rank,title,runtime,year,rating,votes
tt7286456,1,Joker,2h 2m,2019,8.3, (1.7M
tt4154796,2,Avengers: Endgame,3h 1m,2019,8.4, (1.4M
tt4154756,3,Avengers: Infinity War,2h 29m,2018,8.4, (1.3M
tt6751668,4,Parasite,2h 12m,2019,8.5, (1.1M
tt7131622,5,Once Upon a Time... in Hollywood,2h 41m,2019,7.6, (936K
tt1825683,6,Black Panther,2h 14m,2018,7.3, (893K
tt8946378,7,Knives Out,2h 10m,2019,7.9, (837K
tt4633694,8,Spider-Man: Into the Spider-Verse,1h 57m,2018,8.4, (758K
tt8579674,9,1917,1h 59m,2019,8.2, (749K
tt5463162,10,Deadpool 2,1h 59m,2018,7.6, (729K
tt6966692,11,Green Book,2h 10m,2018,8.2, (661K
tt6723592,12,Tenet,2h 30m,2020,7.3, (648K
tt4154664,13,Captain Marvel,2h 3m,2019,6.7, (646K
tt6644200,14,A Quiet Place,1h 30m,2018,7.5, (644K
tt1727824,15,Bohemian Rhapsody,2h 14m,2018,7.9, (633K
tt6320628,16,Spider-Man: Far from Home,2h 9m,2019,7.3, (618K
tt1270797,17,Venom,1h 52m,2018,6.6, (593K
tt1950186,18,Ford v Ferrari,2h 32m,2019,8.1, (548K
tt1477834,19,Aquaman,2h 23m,2018,6.8, (546K
tt2527338,20,Star Wars: Episode IX - The Rise of Skywalker,2h 21m,2019,6.4, (530K
tt1677720,21,Ready Player One,2h 20m,2018,7.4, (530K
tt5095030,22,Ant-Man and the Wasp,1h 58m,2018,7.0, (484K
tt2584384,23,Jojo Rabbit,1h 48m,2019,7.9, (478K
tt6146586,24,John Wick: Chapter 3 - Parabellum,2h 10m,2019,7.4, (468K
tt8772262,25,Midsommar,2h 28m,2019,7.1, (468K
tt1302006,26,The Irishman,3h 29m,2019,7.8, (462K
tt8367814,27,The Gentlemen,1h 53m,2019,7.8, (445K
tt1517451,28,A Star Is Born,2h 16m,2018,7.6, (442K
tt7784604,29,Hereditary,2h 7m,2018,7.3, (440K
tt2948372,30,Soul,1h 40m,2020,8.0, (419K
tt2737304,31,Bird Box,2h 4m,2018,6.6, (414K
tt4912910,32,Mission: Impossible - Fallout,2h 27m,2018,7.7, (412K
tt0448115,33,Shazam!,2h 12m,2019,7.0, (408K
tt3778644,34,Solo: A Star Wars Story,2h 15m,2018,6.9, (402K
tt2798920,35,Annihilation,1h 55m,2018,6.8, (387K
tt6857112,36,Us,1h 56m,2019,6.8, (381K
